                 tag                 | count 
 #NizamuddinMarkaz                   |    11
 #P2                                 |    11
 #PMCaresFund                        |    11
 #StopTheSpread                      |    11
 #TablighiJamatVirus                 |    11
 #TeaParty                           |    11
 #TheHolyScroll                      |    11
 #TrumpGenocide                      |    11
 #usa                                |    11
 #WHO                                |    11
 #Wuhan                              |    11
 #AllInThisTogether                  |    10
 #atx                                |    10
 #coronavirusaus                     |    10
 #Coronavirusireland                 |    10
 #CoronavirusOutbreakindia           |    10
 #Featured                           |    10
 #FightCovid19                       |    10
 #heartlessups                       |    10
 #LGBTQ                              |    10
 #marchforourlives                   |    10
 #Nizamuddin                         |    10
 #Outbreak                           |    10
 #Pakistan                           |    10
 #selfisolation                      |    10
 #selfquarantine                     |    10
 #StayAtHomeAndStaySafe              |    10
 #TheChineseCoronavirus              |    10
 #TheChineseVirus                    |    10
 #travel                             |    10
 #trump                              |    10
 #TrumpLiesAmericansDie              |    10
 #upssteals                          |    10
 #vegas                              |    10
 #WashYourHands                      |    10
 #Wimbledon                          |    10
 #WorkFromHome                       |    10
 #all512                             |     9
 #Americans                          |     9
 #aprilfoolsday                      |     9
 #austin                             |     9
 #BBC                                |     9
 #CoronaTigerForce                   |     9
 #coronaviruspandemic                |     9
 #Covid19India                       |     9
 #COVID19outbreak                    |     9
 #COVID2019india                     |     9
 #EU                                 |     9
 #InThisTogether                     |     9
 #IsolationLife                      |     9
 #KAG2020                            |     9
 #lockdown2020                       |     9
 #Lockdown21                         |     9
 #lockdownuk                         |     9
 #mask                               |     9
 #media                              |     9
 #NewYork                            |     9
 #NizamuddinIdiots                   |     9
 #nyccoronavirus                     |     9
 #Repost                             |     9
 #ShelterInPlace                     |     9
 #StaySafeStayHome                   |     9
 #Trump2020                          |     9
 #UKlockdown                         |     9
 #wednesdaymorning                   |     9
 #21daylockdown                      |     8
 #5G                                 |     8
 #April                              |     8
 #cdnpoli                            |     8
 #community                          |     8
 #coronamemes                        |     8
 #coronapocalypse                    |     8
 #florida                            |     8
 #food                               |     8
 #funny                              |     8
 #GetMePPE                           |     8
 #HealthCareWorkers                  |     8
 #NEWS                               |     8
 #Nigeria                            |     8
 #podcast                            |     8
 #PressBriefing                      |     8
 #ROC                                |     8
 #shelterinplace                     |     8
 #SouthAfrica                        |     8
 #StayAtHomeSaveLives                |     8
 #Telangana                          |     8
 #thankful                           |     8
 #TrumpLiedPeopleDied                |     8
 #TrumpPandemic                      |     8
 #viral                              |     8
 #workingfromhome                    |     8
 #workout                            |     8
 #world                              |     8
 #21daysLockdownSouthAfrica          |     7
 #ACNH                               |     7
 #America                            |     7
 #Aprilfoolsday2020                  |     7
 #besafe                             |     7
 #Brexit                             |     7
 #Business                           |     7
 #CoronaCrisis                       |     7
 #coronaVirus                        |     7
 #CoronaVirusPakistan                |     7
 #dog                                |     7
 #Farmers                            |     7
 #fun                                |     7
 #hospital                           |     7
 #Independents                       |     7
 #instagram                          |     7
 #Japan                              |     7
 #leadership                         |     7
 #lockdownindia                      |     7
 #maga                               |     7
 #motivation                         |     7
 #pandemic2020                       |     7
 #people                             |     7
 #POTUS                              |     7
 #retail                             |     7
 #SaveLives                          |     7
 #selfcare                           |     7
 #spring                             |     7
 #thankyou                           |     7
 #tiktok                             |     7
 #VOTEBLUE                           |     7
 #YMCA                               |     7
 #YWeStillPlay                       |     7
 #2020Census                         |     6
 #AKA1908                            |     6
 #AKASouthEastern                    |     6
 #AmericaFirst                       |     6
 #Australia                          |     6
 #business                           |     6
 #California                         |     6
 #CensusDay2020                      |     6
 #ChineseWuhanVirus                  |     6
 #ChrisCuomo                         |     6
 #CoronaCombatForce                  |     6
 #CoronaStopKaroNa                   |     6
 #CoronavirusNewYork                 |     6
 #COVID19US                          |     6
 #COVIDIOT                           |     6
 #cuarentena                         |     6
 #Democrats                          |     6
 #distancelearning                   |     6
 #doctors                            |     6
 #DomicileLaw                        |     6
 #education                          |     6
 #FlattenTheCuve                     |     6
 #floridaunemployment                |     6
 #gym                                |     6
 #healthy                            |     6
 #Heartbreaking                      |     6
 #home                               |     6
 #homeschool                         |     6
 #HumanityOverEconomy                |     6
 #humpday                            |     6
 #Iran                               |     6
 #Irresponsible                      |     6
 #keyworkers                         |     6
 #KomeshaCorona                      |     6
 #lka                                |     6
 #LockdownSA                         |     6
 #london                             |     6
 #Masks                              |     6
 #nature                             |     6
 #NewsandPolitics                    |     6
 #NewYorkCity                        |     6
 #pandemia                           |     6
 #paranoia                           |     6
 #photooftheday                      |     6
 #PPEshortage                        |     6
 #quarantineandchill                 |     6
 #quarentine                         |     6
 #QuarentineLife                     |     6
 #racist                             |     6
 #rdguk                              |     6
 #savelives                          |     6
 #socialdistance                     |     6
 #StayAtHomeChallenge                |     6
 #stayhomechallenge                  |     6
 #StayHomeIndia                      |     6
 #StaySafeNigeria                    |     6
 #StayTheFHome                       |     6
 #StayTheFuckHome                    |     6
 #sunset                             |     6
 #TableeghiJamaat                    |     6
 #Taiwan                             |     6
 #testing                            |     6
 #TlofTlofLockdown                   |     6
 #TogetherApart                      |     6
 #TogetherAtHome                     |     6
 #Toronto                            |     6
 #TrumpVirusCoverup                  |     6
 #Twitter                            |     6
 #UPDATE                             |     6
 #WeWillPrevail                      |     6
 #WFH                                |     6
 #winning                            |     6
 #youtube                            |     6
 #actorslife                         |     5
 #AloneTogether                      |     5
 #anxiety                            |     5
 #Arkansas                           |     5
 #artist                             |     5
 #athome                             |     5
 #birthday                           |     5
 #bored                              |     5
 #boxing                             |     5
 #CatsOfTwitter                      |     5
 #CDC                                |     5
 #ChineseVirusCorona                 |     5
 #CitiNewsroom                       |     5
 #confinement                        |     5
 #CoronaInMaharashtra                |     5
 #CoronaKoDhona                      |     5
 #coronavírus                        |     5
 #coronavirusaustralia               |     5
 #coronavirusinindia                 |     5
 #CoronavirusLockdownUK              |     5
 #coronavirusmemes                   |     5
 #COVID19Nigeria                     |     5
 #CruiseShip                         |     5
 #Delhi                              |     5
 #DeSantis                           |     5
 #dogs                               |     5
 #dogsofinstagram                    |     5
 #DomesticViolence                   |     5
 #DrFauci                            |     5
 #Dubai                              |     5
 #EssentialWorkers                   |     5
 #Ethiopia                           |     5
 #Europe                             |     5
 #facemasks                          |     5
 #familytime                         |     5
 #FightCOVID19                       |     5
 #fighttogether                      |     5
 #FirstResponders                    |     5
 #GavinNewsom                        |     5
 #Ghana                              |     5
 #Government                         |     5
 #gratitude                          |     5
 #HappyNewMonth                      |     5
 #HelpingOthers                      |     5
 #HIV                                |     5
 #Homeschooling2020                  |     5
 #homeworkout                        |     5
 #hospitals                          |     5
 #humor                              |     5
 #IndiaFightsCoronavirus             |     5
 #innovation                         |     5
 #instagood                          |     5
 #Ireland                            |     5
 #italy                              |     5
 #jokes                              |     5
 #keepingbusy                        |     5
 #KeystoneXL                         |     5
 #LarryDavid                         |     5
 #lasvegas                           |     5
 #LasVegas                           |     5
 #Leadership                         |     5
 #lifestyle                          |     5
 #lockdownUKnow                      |     5
 #mediavirus                         |     5
 #medtwitter                         |     5
 #memes                              |     5
 #Mexico                             |     5
 #miami                              |     5
 #Mumbai                             |     5
 #NationalPark                       |     5
 #ncdc                               |     5
 #Nevada                             |     5
 #newmusic                           |     5
 #newnormal                          |     5
 #newyork                            |     5
 #newyorklockdown                    |     5
 #NHSThankYou                        |     5
 #NoKXL                              |     5
 #nurses                             |     5
 #NYCLockdown                        |     5
 #outdoors                           |     5
 #ParkChat                           |     5
 #peace                              |     5
 #PhysicalDistancing                 |     5
 #picoftheday                        |     5
 #politics                           |     5
 #PPEShortages                       |     5
 #PrayTogether                       |     5
 #ProtectOurDoctors                  |     5
 #ProtectOurNurses                   |     5
 #QuarantineMoneyMakingIdeas         |     5
 #QuedateEnCasa                      |     5
 #Queens                             |     5
 #RENTRELIEF                         |     5
 #resilience                         |     5
 #retweet                            |     5
 #safety                             |     5
 #SakalNews                          |     5
 #SakalTimes                         |     5
 #Scotland                           |     5
 #SEENews                            |     5
 #selfemployed                       |     5
 #smallbusiness                      |     5
 #sports                             |     5
 #stayhomesavelives                  |     5
 #stayhomestaysafe                   |     5
 #staythefuckhome                    |     5
 #students                           |     5
 #support                            |     5
 #SupportTheFrontlines               |     5
 #SyndicatedLocal                    |     5
 #TablighiJamat                      |     5
 #TelanganaFightsCorona              |     5
 #Texas                              |     5
 #thistooshallpass                   |     5
 #togetherathome                     |     5
 #TrumpPlague                        |     5
 #unemployment                       |     5
 #UnitedStates                       |     5
 #vaccine                            |     5
 #Vegas                              |     5
 #WeAreInThisTogether                |     5
 #WellnessWednesday                  |     5
 #wfh                                |     5
 #WhiteHouse                         |     5
 #WhiteHouseBriefing                 |     5
 #WTF                                |     5
 #yellow                             |     5
 #zoom                               |     5
 #فيروس_كورونا                       |     5
 #1April                             |     4
 #21DaysChallenge                    |     4
 #21daysLockdown                     |     4
 #2YoDoINDIA                         |     4
 #7news                              |     4
 #abpoli                             |     4
 #AlwaysOn                           |     4
 #AndrewCuomo                        |     4
 #apocalypse                         |     4
 #ArtistOnTwitter                    |     4
 #australia                          |     4
 #bekind                             |     4
 #Bernie2020                         |     4
 #BeSafe                             |     4
 #BeSafeGoDigital                    |     4
 #businesssupport                    |     4
 #cartoon                            |     4
 #CassperStayAtHomeGames             |     4
 #CCPVirus                           |     4
 #chicago                            |     4
 #Chinese                            |     4
 #compassion                         |     4
 #CoronaCrisisuk                     |     4
 #Coronafighters                     |     4
 #coronalockdownuk                   |     4
 #CoronaPandemic                     |     4
 #coronatime                         |     4
 #coronavirusau                      |     4
 #coronaviruspandamic                |     4
 #corvid19                           |     4
 #Covid_19australia                  |     4
 #Covid_19india                      |     4
 #COVID19Ontario                     |     4
 #CubaVScoronavirUSblockade          |     4
 #curfew                             |     4
 #Curfew                             |     4
 #dance                              |     4
 #DataScience                        |     4
 #DC                                 |     4
 #Democrat                           |     4
 #Djibouti                           |     4
 #doctor                             |     4
 #drawing                            |     4
 #dublin                             |     4
 #earthquake                         |     4
 #EastBayNews                        |     4
 #essential                          |     4
 #europe                             |     4
 #exercise                           |     4
 #explore                            |     4
 #facemask                           |     4
 #FactsOnRwanda                      |     4
 #FakePresident                      |     4
 #fight                              |     4
 #findyourpark                       |     4
 #fit                                |     4
 #fitfam                             |     4
 #Floridacoronavirus                 |     4
 #flu                                |     4
 #france                             |     4
 #France                             |     4
 #freedom                            |     4
 #fuckcoronavirus                    |     4
 #funnyvideos                        |     4
 #gay                                |     4
 #Georgia                            |     4
 #getoutside                         |     4
 #Global                             |     4
 #GovDeSantis                        |     4
 #grateful                           |     4
 #groceries                          |     4
 #happiness                          |     4
 #happy                              |     4
 #Hawaii                             |     4
 #Healthcare                         |     4
 #healthylifestyle                   |     4
 #HelpFightCorona                    |     4
 #heroes                             |     4
 #hoax                               |     4
 #HomeOffice                         |     4
 #HongKong                           |     4
 #Houston                            |     4
 #Hyderabad                          |     4
 #IndiaFightsCOVID19                 |     4
 #iNNA                               |     4
 #Instagram                          |     4
 #inthistogether                     |     4
 #investing                          |     4
 #Islam                              |     4
 #Islamophobia                       |     4
 #Israel                             |     4
 #Jib                                |     4
 #justsaying                         |     4
 #Karachi                            |     4
 #Kenya                              |     4
 #keyworkerHeroes                    |     4
 #kindness                           |     4
 #law                                |     4
 #likeforfollow                      |     4
 #LockDown                           |     4
 #lol                                |     4
 #losangeles                         |     4
 #LosAngeles                         |     4
 #Love                               |     4
 #Luxembourg                         |     4
 #MAGA2020                           |     4
 #money                              |     4
 #mortgage                           |     4
 #MoscowMitchMcTreason               |     4
 #movies                             |     4
 #mumbai                             |     4
 #musician                           |     4
 #Muslim                             |     4
 #NationalParkGeek                   |     4
 #NBA                                |     4
 #newmonth                           |     4
 #NewsSuite                          |     4
 #NewYorkCoronavirus                 |     4
 #NoAprilFools                       |     4
 #nswpol                             |     4
 #nutrition                          |     4
 #onlinelearning                     |     4
 #peoplepower                        |     4
 #picture                            |     4
 #poem                               |     4
 #pray                               |     4
 #PressConference                    |     4
 #ProtectTheNHS                      |     4
 #protegetonsoignant                 |     4
 #PSA                                |     4
 #publichealth                       |     4
 #QuarantineActivities               |     4
 #QuaratineLife                      |     4
 #realDonaldTrump                    |     4
 #realestate                         |     4
 #rent                               |     4
 #RIP                                |     4
 #Rona                               |     4
 #Rwanda                             |     4
 #Sakal                              |     4
 #science                            |     4
 #smh                                |     4
 #smile                              |     4
 #SocialDistancinguk                 |     4
 #socialisolation                    |     4
 #Somaliland                         |     4
 #SpreadCalmNotFear                  |     4
 #StayAtHomeOrder                    |     4
 #StayHealthy                        |     4
 #stayinside                         |     4
 #staysafestayhome                   |     4
 #Stimuluscheck                      |     4
 #stop                               |     4
 #stopthespread                      |     4
 #strength                           |     4
 #StrongerTogether                   |     4
 #target                             |     4
 #teachers                           |     4
 #tech                               |     4
 #tennis                             |     4
 #Terrorists                         |     4
 #ThankYouNHS                        |     4
 #tiktokindia                        |     4
 #TogetherWeCan                      |     4
 #toiletpaper                        |     4
 #training                           |     4
 #UAE                                |     4
 #UKLockdownNow                      |     4
 #unemployed                         |     4
 #ViralNews                          |     4
 #virtual                            |     4
 #volunteers                         |     4
 #weareallinthistogether             |     4
 #WeAreAllInThisTogether             |     4
 #WeeGranny                          |     4
 #wellness                           |     4
 #WestThurrock                       |     4
 #workoutathome                      |     4
 #World                              |     4
 #wuhan                              |     4
 #yomequedoencasa                    |     4
 #YouTube                            |     4
 #2020InOneWord                      |     3
 #21dayfix                           |     3
 #3D                                 |     3
 #aadpakvis                          |     3
 #ABC                                |     3
 #actor                              |     3
 #advice                             |     3
 #AI                                 |     3
 #airambulance                       |     3
 #Allah                              |     3
 #alonetogether                      |     3
 #AmazonStrike                       |     3
 #america                            |     3
 #AmitShah                           |     3
 #amwriting                          |     3
 #AndhraPradesh                      |     3
 #AnimalCrossingNewHorizons          |     3
 #april1                             |     3
 #Aprilfool                          |     3
 #Asia                               |     3
 #AskDrH                             |     3
 #Assam                              |     3
 #atlanta                            |     3
 #awareness                          |     3
 #Bangladesh                         |     3
 #banking                            |     3
 #baseball                           |     3
 #bcpoli                             |     3
 #beach                              |     3
 #beard                              |     3
 #beautiful                          |     3
 #BeStrong                           |     3
 #Bigotry                            |     3
 #blessed                            |     3
 #BloodOnTrumpsHands                 |     3
 #blselcaday                         |     3
 #bodybuilding                       |     3
 #Botswana                           |     3
 #BoycottChina                       |     3
 #BoycottMurdochMedia                |     3
 #branding                           |     3
 #Brazil                             |     3
 #breakthechain                      |     3
 #BreakTheChain                      |     3
 #businesses                         |     3
 #CA                                 |     3
 #california                         |     3
 #canada                             |     3
 #caricature                         |     3
 #CaroleBaskin                       |     3
 #CCP                                |     3
 #cdc                                |     3
 #challenge                          |     3
 #charminglyapocalyptic              |     3
 #chicken                            |     3
 #ChinaCoronaVirus                   |     3
 #ChinaLiedAndPeopleDied             |     3
 #CitiCBS                            |     3
 #ClarkCounty                        |     3
 #coffee                             |     3
 #coldwellbankergroves               |     3
 #CommunistChina                     |     3
 #communityspirit                    |     3
 #Conservatives                      |     3
 #Consistency                        |     3
 #COP26                              |     3
 #CoronaHumor                        |     3
 #CoronaIdiot                        |     3
 #Coronaindia                        |     3
 #coronaInWS                         |     3
 #CoronaJihaad                       |     3
 #CoronaUpdates                      |     3
 #CoronaVirusInRwanda                |     3
 #coronavirusnyc                     |     3
 #CoronaVirusNYC                     |     3
 #CoronaVirusOutbreak                |     3
 #coronavirusPandemic                |     3
 #CoronaVirusPandemic                |     3
 #CoronaVirusPandemicUS              |     3
 #CoronaVirusPandemicUSA             |     3
 #CoronaVirusSA                      |     3
 #coronavirusupdate                  |     3
 #Costco                             |     3
 #countrydog                         |     3
 #countryside                        |     3
 #covidー19                          |     3
 #Covid19Bw                          |     3
 #Covid19ImpactKe                    |     3
 #Covid19inSA                        |     3
 #COVID19LK                          |     3
 #COVID19OhioReady                   |     3
 #CoVid19Outbreak                    |     3
 #CoVid19PandemicUS                  |     3
 #CoVid19PandemicUSA                 |     3
 #COVID19PH                          |     3
 #COVID19SouthAfrica                 |     3
 #CoVid19Update                      |     3
 #CoVid19Updates                     |     3
 #Covid19usa                         |     3
 #covid2020                          |     3
 #COVIDActNow                        |     3
 #COVIDIDIOT                         |     3
 #covidireland                       |     3
 #CyberSecurity                      |     3
 #Dallas                             |     3
 #data                               |     3
 #DeathToll                          |     3
 #delhi                              |     3
 #DelhiCoronaScareExplodes           |     3
 #DemocratsAreDestroyingAmerica      |     3
 #depressed                          |     3
 #depression                         |     3
 #diabetes                           |     3
 #DigitalTransformation              |     3
 #disastermovie                      |     3
 #divorce                            |     3
 #DIY                                |     3
 #Doctors                            |     3
 #doglife                            |     3
 #doglifestyle                       |     3
 #dogstagram                         |     3
 #DoingMyPartCO                      |     3
 #DonTheCon                          |     3
 #Ebola                              |     3
 #Ecoin                              |     3
 #Ecuador                            |     3
 #Election2020                       |     3
 #ElmhurstHospital                   |     3
 #ElSegundo                          |     3
 #ElSegundobeach                     |     3
 #emptystreets                       |     3
 #explorepage                        |     3
 #Facebook                           |     3
 #faith                              |     3
 #familylaw                          |     3
 #FDA                                |     3
 #fi8nessmotivation                  |     3
 #FightAgainstCorona                 |     3
 #films                              |     3
 #firstresponders                    |     3
 #fitnessmotivation                  |     3
 #Fla                                |     3
 #Floridalockdown                    |     3
 #flowers                            |     3
 #follow4followback                  |     3
 #football                           |     3
 #foryou                             |     3
 #FrontLineHeroes                    |     3
 #future                             |     3
 #game                               |     3
 #GetUsPPE                           |     3
 #glasgow                            |     3
 #globalevent                        |     3
 #globalpandemic                     |     3
 #GOP                                |     3
 #Governor                           |     3
 #grocery                            |     3
 #growth                             |     3
 #hair                               |     3
 #handsanitizer                      |     3
 #healthtech                         |     3
 #healthyliving                      |     3
 #heart                              |     3
 #heautifulharries                   |     3
 #Help                               |     3
 #HelpUsToHelpYou                    |     3
 #HipHopRepublicans                  |     3
 #history                            |     3
 #hobby                              |     3
 #holiday                            |     3
 #homecooking                        |     3
 #hongkong                           |     3
 #hotel                              |     3
 #HumanRights                        |     3
 #humour                             |     3
 #Hungary                            |     3
 #hygiene                            |     3
 #Ignorance                          |     3
 #ilfattoquotidiano                  |     3
 #ImpeachedTrump                     |     3
 #impeachment                        |     3
 #ImranKhan                          |     3
 #indiafightscorona                  |     3
 #IndiaVsCorona                      |     3
 #inspiration                        |     3
 #InThisTogetherOhio                 |     3
 #IPL2020                            |     3
 #ireland                            |     3
 #IrelandLockdown                    |     3
 #JammuAndKashmir                    |     3
 #jomotv                             |     3
 #justsayin                          |     3
 #KeaDrive                           |     3
 #Kentucky                           |     3
 #Kerala                             |     3
 #Khat                               |     3
 #KPIXBetterTogetherJobs             |     3
 #ksgov                              |     3
 #Lagos                              |     3
 #LeadershipMatters                  |     3
 #leica                              |     3
 #life                               |     3
 #like4likes                         |     3
 #likeforlikes                       |     3
 #LIVE                               |     3
 #living                             |     3
 #LockdownNow                        |     3
 #lockdownnz                         |     3
 #LockdownWithoutPlan                |     3
 #LockHimUp                          |     3
 #lonestarcollege                    |     3
 #Madrid                             |     3
 #Maharashtra                        |     3
 #MainStreamMedia                    |     3
 #MakeChinaPay                       |     3
 #mapoli                             |     3
 #marcotravaglio                     |     3
 #marketing                          |     3
 #Maryland                           |     3
 #Maulana                            |     3
 #McConnell                          |     3
 #measures                           |     3
 #Media                              |     3
 #medicine                           |     3
 #memycomputerandi                   |     3
 #MentalHealth                       |     3
 #Miami                              |     3
 #MikePence                          |     3
 #Misogynist                         |     3
 #MitchPlease                        |     3
 #mitigation                         |     3
 #Moodys                             |     3
 #MoscowMitch                        |     3
 #MSM                                |     3
 #MTA                                |     3
 #murdochisacancer                   |     3
 #Music                              |     3
 #Narcissist                         |     3
 #NarendraModi                       |     3
 #netherlands                        |     3
 #new                                |     3
 #newyorkcity                        |     3
 #NFL                                |     3
 #NHSNightingale                     |     3
 #nigeria                            |     3
 #NITV                               |     3
 #nofilter                           |     3
 #NorthBayNews                       |     3
 #nps                                |     3
 #NursingHomes                       |     3
 #nycshutdown                        |     3
 #Ohio                               |     3
 #Oklahoma                           |     3
 #onewolfonepack                     |     3
 #OOTT                               |     3
 #outbreak                           |     3
 #OutNow                             |     3
 #overit                             |     3
 #PakistanFightsCorona               |     3
 #paris                              |     3
 #park                               |     3
 #perfectscenario                    |     3
 #petstagram                         |     3
 #Philippines                        |     3
 #photo                              |     3
 #photographer                       |     3
 #photos                             |     3
 #photoshoot                         |     3
 #PMCARESFund                        |     3
 #poetry                             |     3
 #Politics                           |     3
 #pollution                          |     3
 #PoolManLunchTime                   |     3
 #positive                           |     3
 #positivesides                      |     3
 #PositiveVibes                      |     3
 #positivity                         |     3
 #potus                              |     3
 #prayers                            |     3
 #PrayersForCoronaFreeWorld          |     3
 #precautionary                      |     3
 #Prejudice                          |     3
 #President                          |     3
 #primaaprilis                       |     3
 #privacy                            |     3
 #protection                         |     3
 #protest                            |     3
 #Purfleet                           |     3
 #QuarantineBirthday                 |     3
 #quarantined                        |     3
 #quedateencasa                      |     3
 #RacismIsAVirus                     |     3
 #ratnamani                          |     3
 #ratnamanimetalandtubeindustriesltd |     3
 #realtor                            |     3
 #recession                          |     3
 #recovery                           |     3
 #refugees                           |     3
 #remotelearning                     |     3
 #RentFreeze2020                     |     3
(1000 rows)

